source,target,following,followed_by
SenShelby,SenShelby,FALSE,FALSE
SenShelby,SenDougJones,TRUE,TRUE
SenShelby,lisamurkowski,TRUE,TRUE
SenShelby,SenDanSullivan,TRUE,FALSE
SenShelby,SenJohnMcCain,FALSE,TRUE
SenShelby,JeffFlake,FALSE,TRUE
SenShelby,SenTomCotton,TRUE,TRUE
SenShelby,JohnBoozman,TRUE,TRUE
SenShelby,SenFeinstein,FALSE,FALSE
SenShelby,SenKamalaHarris,FALSE,FALSE
SenShelby,SenBennetCO,FALSE,FALSE
SenShelby,SenCoryGardner,TRUE,TRUE
SenShelby,ChrisMurphyCT,FALSE,FALSE
SenShelby,SenBlumenthal,TRUE,FALSE
SenShelby,SenatorCarper,FALSE,FALSE
SenShelby,ChrisCoons,TRUE,FALSE
SenShelby,SenBillNelson,FALSE,FALSE
SenShelby,marcorubio,FALSE,TRUE
SenShelby,sendavidperdue,TRUE,TRUE
SenShelby,SenatorIsakson,TRUE,TRUE
SenShelby,brianschatz,FALSE,FALSE
SenShelby,maziehirono,FALSE,FALSE
SenShelby,MikeCrapo,TRUE,TRUE
SenShelby,SenatorRisch,TRUE,TRUE
SenShelby,SenDuckworth,TRUE,FALSE
SenShelby,SenatorDurbin,TRUE,FALSE
SenShelby,SenDonnelly,FALSE,TRUE
SenShelby,SenToddYoung,FALSE,FALSE
SenShelby,ChuckGrassley,FALSE,TRUE
SenShelby,joniernst,FALSE,TRUE
SenShelby,SenPatRoberts,TRUE,TRUE
SenShelby,JerryMoran,TRUE,TRUE
SenShelby,SenateMajLdr,TRUE,TRUE
SenShelby,RandPaul,FALSE,TRUE
SenShelby,BillCassidy,FALSE,FALSE
SenShelby,SenJohnKennedy,TRUE,FALSE
SenShelby,SenAngusKing,TRUE,FALSE
SenShelby,SenatorCollins,TRUE,TRUE
SenShelby,ChrisVanHollen,FALSE,FALSE
SenShelby,SenatorCardin,TRUE,FALSE
SenShelby,SenMarkey,TRUE,FALSE
SenShelby,SenWarren,TRUE,FALSE
SenShelby,SenGaryPeters,FALSE,FALSE
SenShelby,SenStabenow,FALSE,FALSE
SenShelby,amyklobuchar,TRUE,FALSE
SenShelby,SenTinaSmith,FALSE,FALSE
SenShelby,SenThadCochran,TRUE,TRUE
SenShelby,SenatorWicker,TRUE,TRUE
SenShelby,clairecmc,FALSE,FALSE
SenShelby,RoyBlunt,TRUE,TRUE
SenShelby,SteveDaines,FALSE,FALSE
SenShelby,SenatorTester,TRUE,FALSE
SenShelby,SenatorFischer,TRUE,TRUE
SenShelby,BenSasse,FALSE,TRUE
SenShelby,SenCortezMasto,TRUE,FALSE
SenShelby,SenDeanHeller,TRUE,TRUE
SenShelby,SenatorShaheen,TRUE,FALSE
SenShelby,SenatorHassan,TRUE,FALSE
SenShelby,CoryBooker,TRUE,FALSE
SenShelby,SenatorMenendez,FALSE,TRUE
SenShelby,MartinHeinrich,FALSE,FALSE
SenShelby,SenatorTomUdall,TRUE,FALSE
SenShelby,SenSchumer,FALSE,FALSE
SenShelby,SenGillibrand,FALSE,FALSE
SenShelby,SenatorBurr,TRUE,TRUE
SenShelby,SenThomTillis,TRUE,TRUE
SenShelby,SenatorHeitkamp,FALSE,TRUE
SenShelby,SenJohnHoeven,TRUE,TRUE
SenShelby,SenSherrodBrown,TRUE,TRUE
SenShelby,senrobportman,TRUE,TRUE
SenShelby,JimInhofe,FALSE,TRUE
SenShelby,SenatorLankford,TRUE,TRUE
SenShelby,RonWyden,TRUE,FALSE
SenShelby,SenJeffMerkley,TRUE,TRUE
SenShelby,SenBobCasey,TRUE,FALSE
SenShelby,SenToomey,TRUE,TRUE
SenShelby,SenJackReed,TRUE,TRUE
SenShelby,SenWhitehouse,FALSE,FALSE
SenShelby,GrahamBlog,TRUE,TRUE
SenShelby,SenatorTimScott,TRUE,TRUE
SenShelby,SenatorRounds,TRUE,FALSE
SenShelby,SenJohnThune,FALSE,TRUE
SenShelby,SenAlexander,TRUE,TRUE
SenShelby,BobCorker,FALSE,FALSE
SenShelby,JohnCornyn,TRUE,TRUE
SenShelby,SenTedCruz,TRUE,TRUE
SenShelby,senorrinhatch,TRUE,TRUE
SenShelby,SenMikeLee,TRUE,TRUE
SenShelby,SenatorLeahy,FALSE,TRUE
SenShelby,timkaine,FALSE,FALSE
SenShelby,MarkWarner,TRUE,FALSE
SenShelby,PattyMurray,TRUE,FALSE
SenShelby,SenatorCantwell,FALSE,FALSE
SenShelby,SenCapito,FALSE,TRUE
SenShelby,Sen_JoeManchin,TRUE,TRUE
SenShelby,SenatorBaldwin,TRUE,FALSE
SenShelby,SenRonJohnson,TRUE,TRUE
SenShelby,SenatorEnzi,TRUE,TRUE
SenShelby,SenJohnBarrasso,FALSE,TRUE
