State,Senator,Official Twitter,Staff Twitter,Campaign Twitter,Party affiliation,label
Alabama,"Shelby, Richard",SenShelby,,,Republican Party,Shelby(R)
Alabama,"Jomes, Doug",SenDougJones,,,Democratic Party,Jones(D)
Alaska,"Murkowski, Lisa",lisamurkowski,,LisaForSenate,Republican Party,Murkowski(R)
Alaska,"Sullivan, Dan",SenDanSullivan,,DanSullivan2014,Republican Party,Sullivan(R)
Arizona,"McCain, John",SenJohnMcCain,,TeamMcCain,Republican Party,McCain(R)
Arizona,"Flake, Jeff",JeffFlake,,FlakeforSenate,Republican Party,Flake(R)
Arkansas,"Cotton, Tom",SenTomCotton,,TomCottonAR,Republican Party,Cotton(R)
Arkansas,"Boozman, John",JohnBoozman,,Boozman4AR,Republican Party,Boozman(R)
California,"Feinstein, Dianne",SenFeinstein,,DianneFeinstein,Democratic Party,Feinstein(D)
California,"Harris, Kamala",SenKamalaHarris,,KamalaHarris,Democratic Party,Harris(D)
Colorado,"Bennet, Michael",SenBennetCO,,BennetForCO,Democratic Party,Bennet(D)
Colorado,"Gardner, Cory",SenCoryGardner,,CoryGardner,Republican Party,Gardner(R)
Connecticut,"Murphy, Christopher",ChrisMurphyCT,,,Democratic Party,Murphy(D)
Connecticut,"Blumenthal, Richard",SenBlumenthal,,DickBlumenthal,Democratic Party,Blumenthal(D)
Delaware,"Carper, Tom",SenatorCarper,,TomCarperforDE,Democratic Party,Carper(D)
Delaware,"Coons, Chris",ChrisCoons,SenCoonsOffice,ChrisCoonsforDE,Democratic Party,Coons(D)
Florida,"Nelson, Bill",SenBillNelson,,NelsonForSenate,Democratic Party,Nelson(D)
Florida,"Rubio, Marco",marcorubio,SenRubioPress,TeamMarco,Republican Party,Rubio(R)
Georgia,"Perdue, David",SenDavidPerdue,,Perduesenate,Republican Party,Perdue(R)
Georgia,"Isakson, Johnny",SenatorIsakson,,JohnnyIsakson,Republican Party,Isakson(R)
Hawaii,"Schatz, Brian",brianschatz,SenBrianSchatz,SchatzforHawaii,Democratic Party,Schatz(D)
Hawaii,"Hirono, Mazie",maziehirono,,mazieforhawaii,Democratic Party,Hirono(D)
Idaho,"Crapo, Mike",MikeCrapo,,crapo4senate,Republican Party,Crapo(R)
Idaho,"Risch, Jim",SenatorRisch,,JimRisch,Republican Party,Risch(R)
Illinois,"Duckworth, Tammy",SenDuckworth,TammyforIL,TammyForIl,Democratic Party,Duckworth(D)
Illinois,"Durbin, Dick",SenatorDurbin,,DickDurbin,Democratic Party,Durbin(D)
Indiana,"Donnelly, Joe",SenDonnelly,,,Democratic Party,Donnelly(D)
Indiana,"Young, Todd",SenToddYoung,,ToddYoungIN,Republican Party,Young(R)
Iowa,"Grassley, Chuck",ChuckGrassley,GrassleyPress,GrassleyWorks,Republican Party,Grassley(R)
Iowa,"Ernst, Joni",joniernst,SenJoniErnst,,Republican Party,Ernst(R)
Kansas,"Roberts, Pat",SenPatRoberts,PatRoberts,,Republican Party,Roberts(R)
Kansas,"Moran, Jerry",JerryMoran,,moranforkansas,Republican Party,Moran(R)
Kentucky,"McConnell, Mitch",SenateMajLdr,McConnellPress,Team_Mitch,Republican Party,McConnell(R)
Kentucky,"Paul, Rand",RandPaul,,Team_Rand,Republican Party,Paul(R)
Louisiana,"Cassidy, Bill",BillCassidy,,,Republican Party,Cassidy(R)
Louisiana,"Kennedy, John",SenJohnKennedy,,JohnKennedyLA,Republican Party,Kennedy(R)
Maine,"King, Angus",SenAngusKing,,AngusKing2018,Independent,King(I)
