"Official.Twitter","State","Senator","Staff.Twitter","Campaign.Twitter","Party.affiliation","label","followers_count"
"BenSasse","Nebraska","Sasse, Ben","SenSasse","Sasse4Senate","Republican Party","Sasse(R)",240690
"BillCassidy","Louisiana","Cassidy, Bill","","","Republican Party","Cassidy(R)",36912
"BobCorker","Tennessee","Corker, Bob","SenBobCorker","","Republican Party","Corker(R)",8973
"ChrisCoons","Delaware","Coons, Chris","SenCoonsOffice","ChrisCoonsforDE","Democratic Party","Coons(D)",86469
"ChrisMurphyCT","Connecticut","Murphy, Christopher","","","Democratic Party","Murphy(D)",706011
"ChrisVanHollen","Maryland","Van Hollen, Chris","","VanHollenForMD","Democratic Party","Hollen(D)",125098
"ChuckGrassley","Iowa","Grassley, Chuck","GrassleyPress","GrassleyWorks","Republican Party","Grassley(R)",208798
"CoryBooker","New Jersey","Booker, Cory","SenBooker","Booker4Senate","Democratic Party","Booker(D)",4114225
"GrahamBlog","South Carolina","Graham, Lindsey","LindseyGrahamSC","sengraham2016","Republican Party","Graham(R)",114567
"JeffFlake","Arizona","Flake, Jeff","","FlakeforSenate","Republican Party","Flake(R)",534004
"JerryMoran","Kansas","Moran, Jerry","","moranforkansas","Republican Party","Moran(R)",76459
"JohnBoozman","Arkansas","Boozman, John","","Boozman4AR","Republican Party","Boozman(R)",62116
"JohnCornyn","Texas","Cornyn, John","","TeamCornyn","Republican Party","Cornyn(R)",130857
"MarkWarner","Virginia","Warner, Mark","","MarkWarnerVA","Democratic Party","Warner(D)",393752
"MartinHeinrich","New Mexico","Heinrich, Martin","","TeamHeinrich","Democratic Party","Heinrich(D)",177805
"MikeCrapo","Idaho","Crapo, Mike","","crapo4senate","Republican Party","Crapo(R)",57944
"PattyMurray","Washington","Murray, Patty","","MurrayCampaign","Democratic Party","Murray(D)",416385
"RandPaul","Kentucky","Paul, Rand","","Team_Rand","Republican Party","Paul(R)",2345339
"RonWyden","Oregon","Wyden, Ron","WydenPress","WydenForOregon","Democratic Party","Wyden(D)",421685
"RoyBlunt","Missouri","Blunt, Roy","RoyBluntPress","RoyBluntMO","Republican Party","Blunt(R)",82146
"SenAlexander","Tennessee","Alexander, Lamar","","LamarAlexander","Republican Party","Alexander(R)",79681
"SenAngusKing","Maine","King, Angus","","AngusKing2018","Independent","King(I)",190195
"SenBennetCO","Colorado","Bennet, Michael","","BennetForCO","Democratic Party","Bennet(D)",210074
"SenBillNelson","Florida","Nelson, Bill","","NelsonForSenate","Democratic Party","Nelson(D)",341240
