"","eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","gsubname3","motive","guncertain1","guncertain2","guncertain3","individual","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related","attackdecade","date","DOM_I"
"1",197002160001,1970,"February",16,"",0,"",217,"United States",1,"North America","California","San Francisco",37.777125,-122.419644,1,0,"","",1,1,1,0,NA,"",1,1,0,3,"Bombing/Explosion",NA,"",NA,"",3,"Police",22,"Police Building (headquarters, station, school)","San Francisco Police Department","police station",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Unknown","","","","","","",0,NA,NA,0,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Explosive",1,NA,NA,0,NA,NA,1,3,"Minor (likely < $1 million)",3000,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"","","","","PGIS",-9,-9,0,-9,"197002160001, 197002160004","1970","February, 16, 1970","Unknown"
"2",197003050003,1970,"March",5,"",0,"",217,"United States",1,"North America","Puerto Rico","San Juan",18.46617,-66.106654,1,0,"","3/5/1970: Unknown Puerto Rican Nationalists assassinated two United States Navy personal stationed in San Juan, Puerto Rico.  The incident was in response to the death of Antonia Martinez Lagaras, who was shot and killed during a confrontation between students and police in front of the R.O.T.C. building at the University of Puerto Rico, Rio Piedras a day earlier.",1,1,1,0,NA,"",0,1,0,1,"Assassination",NA,"",NA,"",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","US Navy","Two members of the United States Navy",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Armed Commandos of Liberation","","Armed Revolutionary Independence Movement (MIRA)","","","","To protest United States presence in Puerto Rico and revenge the death of Antonia Martinez Lagares",1,1,NA,0,-99,-99,0,NA,"",0,NA,"",NA,NA,"",NA,5,"Firearms",5,"Unknown Gun Type",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","",2,2,0,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"Conflicting reports attribute the incident to the Armed Commandos of Liberation and the Armed Revolutionary Independence Movement (MIRA).","Committee on the Judiciary  United States Senate, ""Terroristic Activity: The Cuban Connection in Puerto Rico; Castro's Hand in Puerto Rican and U.S. Terrorism,"" U.S. Government Printing Office, August 6, 1970.","William Sater, ""Puerto Rican Terrorists: A Possible Threat to U.S. Energy Installations?,"" RAND, October 1981.","""Toward People's War for Independence and Socialism in Puerto Rico: In Defense of Armed Struggle,"" Documents and Communiqués from the Revolutionary Public Independence Movement and the Armed Clandestine Movement, January 1987.","Hewitt Project",0,1,0,1,"","1970","March, 5, 1970","Ethno-nationalist"
"3",197003090006,1970,"March",9,"",0,"",217,"United States",1,"North America","Maryland","Bel Air",39.53894,-76.348479,1,0,"Floor of car","3/9/1970: A bomb exploded in the car of Ralph Featherstone and William Payne, members of the Student non-violent Coordinating Committee and supporters of H. Rap Brown, while they were driving in Bel Air, Maryland, United States.  Both men died as a result of the blast.  Police suspected that the bomb exploded prematurely and was intended for H. Rap Brown's trial scheduled to be held  at the Harford County Courthouse   Many members of the radical Black community believed that the bomb was set off by White Racists or the police.  The next day, a bomb was detonated at Dorchester County Courthouse, the original location of Brown's trial, by an unknown perpetrator.",1,1,1,0,NA,"",0,0,0,3,"Bombing/Explosion",NA,"",NA,"",20,"Unknown",NA,"","","",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Black Nationalists","","","","","","The suspected motive was to disrupt the trial of H. Rap Brown",1,NA,NA,0,2,0,0,NA,"",NA,NA,"",NA,NA,"",NA,6,"Explosives/Bombs/Dynamite",16,"Unknown Explosive Type",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Police believed that the bomb had an electric battery",2,2,2,0,0,0,1,3,"Minor (likely < $1 million)",NA,"Car was damaged",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"This attack is linked with 197003100002.  H. Rap Brown was charged with arson and inciting a riot.  However, he never showed up for his trial and was finally apprehended in 1972.  The bombings occurred at a time of a lot of racial tension in Maryland.   Immediately after the bombing, there were numerous bomb threats to public buildings in the Baltimore and Washington DC areas.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Homer Bigart, ""Maryland Hunts Woman In Blast,"" New York Times, March 12, 1970.","Peter A. Jay, ""Bomb Threats in Area,"" Washington Post, March 13, 1970.","Hewitt Project",-9,-9,0,-9,"","1970","March, 9, 1970","Left-Wing"
"4",197003200002,1970,"March",20,"",0,"",217,"United States",1,"North America","Michigan","Detroit",42.331685,-83.047924,1,0,"In front of his car","3/20/1970: Unknown perpetrators shot and killed Burton I. Gordin, the director of the Michigan Civil Rights Commission, in a downtown garage in Detroit, Michigan, United States.  Police suspected that this incident might have been politically motivated as no money was stolen from Gordin's wallet.",1,1,1,1,2,"Other Crime Type",0,1,0,1,"Assassination",NA,"",NA,"",14,"Private Citizens & Property",68,"Named Civilian","Michigan Civil Rights Commission","Burton I. Gordin",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","White extremists","","","","","","To protest the civil rights movement",0,NA,NA,0,-99,-99,0,NA,"",NA,NA,"",NA,NA,"",NA,5,"Firearms",5,"Unknown Gun Type",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Three shots fired",1,1,0,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"The police were unsure if this incident was an attempted robbery, with the perpetrators too frightened to take the targets money, or if it was an assassination.","Jerry M. Flint, ""Civil Rights Chief In Michigan Slain,"" New York Times, March 21, 1970.","""No Motive of Suspect Seen In Slaying of Rights Official,"" Washington Post, March 22, 1970.","Marcia McKnight Trick, ""Chronology of Incidents of Terroristic, Quasi-Terroristic, and Political Violence in the United States: January 1965 to March 1976,"" National Advisory Committee on Criminal Justice Standards and Goals: Report of the Task Force on Disorders and Terrorism, 1976.","Hewitt Project",-9,-9,0,-9,"","1970","March, 20, 1970","Right-Wing"
"5",197004240002,1970,"April",24,"",0,"",217,"United States",1,"North America","Maryland","Baltimore",39.290555,-76.609604,1,0,"West Baltimore","4/24/1970: Three members of the Black Panthers Party opened fire on a police vehicle parked in Baltimore, Maryland, United States.  Patrolman Donald Sager was killed and police officer Stanley Sierakowski was critically wounded but survived.  The perpetrators were under orders from the Black Panthers to kill police.",1,1,1,0,NA,"",0,1,0,2,"Armed Assault",NA,"",NA,"",3,"Police",25,"Police Security Forces/Officers","Baltimore Police Department","Baltimore Police Officers",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Black Panthers","","","","","","To kill police",0,NA,NA,0,3,3,0,NA,"",NA,NA,"",NA,NA,"",NA,5,"Firearms",2,"Automatic Weapon",5,"Firearms",3,"Handgun",NA,"",NA,"",NA,"",NA,"",".45 caliber semi-automatic pistol and .38 caliber pistol",1,1,0,1,1,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"The killings were part of a Black Panthers initiation ritual.  All three perpetrators were convicted and received life sentences.","George J. Hiltner, ""City Panther is Convicted of Murder,"" Washington Post, January 16, 1970.","Laurie Willis, ""Judge Affirms 1972 Life Term,"" Baltimore Sun, December 5, 1972.","George J. Hiltner, ""Panther Gets Life, 15 Years in Police Killings,"" Washington Post, June 17, 1972.","Hewitt Project",0,0,0,0,"","1970","April, 24, 1970","Left-Wing"
"6",197005090003,1970,"May",9,"",0,"",217,"United States",1,"North America","California","Sacramento",38.551295,-121.471066,1,0,"Oak Park","5/9/1970: Sacramento Police Officer Bernard Bennett was shot and killed by a sniper, suspected of being a Black Militant, as the he was patrolling the Oak Park area of Sacramento, United States, with his partner Officer Lloyd Smothers.",1,1,1,0,NA,"",0,1,0,2,"Armed Assault",NA,"",NA,"",3,"Police",25,"Police Security Forces/Officers","Sacramento Police Department","Sacramento Police Officers",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Black Nationalists","","","","","","To punish Sacramento Police officers for their treatment of African Americans",0,NA,NA,0,-99,-99,0,NA,"",NA,NA,"",NA,NA,"",NA,5,"Firearms",5,"Unknown Gun Type",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Sniper; a total of six bullets fired",1,1,0,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"The bullet struck officer Bennett in the head.  This attack occurred during heightened tensions between the police and the African American community of Sacramento California.  The police originally charged seven people, with ties to various Black National organizations including the Black Panther Party, for the attack.  However,  the suspected perpetrators were acquitted of the crime during their trial due to lack of evidence.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","David Colvin, ""Black Politics After the Civil Rights Movement: Activity and Beliefs in Sacramento, 1970-2000,"" McFarland & Company, Inc., 2009.","""Sacramento Policeman Shot,"" New York Times, May 11, 1970.","Hewitt Project",-9,-9,0,-9,"","1970","May, 9, 1970","Left-Wing"
"7",197005150004,1970,"May",15,"",0,"",217,"United States",1,"North America","Washington","Seattle",47.60356,-122.329439,1,0,"Capital Hill Area","5/15/1970: Larry G. Ward, an African American, was shot and killed by police as he attempted to bomb the Hardcastle Realty office in Seattle, Washington, United States.  The real estate office was the target of a bombing a month earlier.",1,1,1,0,NA,"",0,0,0,3,"Bombing/Explosion",NA,"",NA,"",1,"Business",NA,"","Hardcastle Realty","Hardcastle Realty, Seattle",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Black Nationalists","","","","","","",0,NA,NA,0,1,0,0,NA,"",NA,NA,"",NA,NA,"",NA,6,"Explosives/Bombs/Dynamite",28,"Dynamite/TNT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Three sticks of dynamite taped to a fuse and blasting cap",1,1,1,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"Police received intelligence that the realty office would be attacked and two officers were waiting at the scene.  Ward succeeded in lighting the fuse, but the bomb failed to ignite.  Hardcastle realty was previously bombed in attack 197004190002.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","""Public Service Strikes Hit San Diego,"" Washington Post, May 16, 1970.","","Hewitt Project",-9,-9,0,-9,"","1970","May, 15, 1970","Left-Wing"
"8",197005220002,1970,"May",22,"",0,"",217,"United States",1,"North America","Minnesota","St. Paul",44.946604,-93.136446,1,0,"859 Hague Avenue","5/22/1970: Police Officer James Sackett is murdered by a sniper after he responded to a fake emergency call in St. Paul, Minnesota, United States.  Over thirty-five years after Sackett's death Ronald Reed and Larry Clark were convicted of the murder.  They were Black Panther wannabe's who wanted to kill a police officer.",1,1,1,0,NA,"",0,1,0,2,"Armed Assault",NA,"",NA,"",3,"Police",25,"Police Security Forces/Officers","St. Paul Police Department","St. Paul Police Officer",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Black Nationalists","","","","","","To kill police indiscriminately",0,NA,NA,0,2,2,0,NA,"",NA,NA,"",NA,NA,"",NA,5,"Firearms",4,"Rifle/Shotgun (non-automatic)",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","High-powered rifle",1,1,0,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"Constance Trimble, the former girlfriend of Ronald Reed, stated that she made the phony phone call to lure a St. Paul Police Officer.  Reed and Clark were both convicted of first-degree murder and conspiracy and sentenced to life in prison.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Shannon Prather, ""Court Upholds Verdict in Cop Killings,"" St. Paul Pioneer Press, August 23, 2007.","""St. Paul Police Officer James Sackett, 27, Is Killed By A Shot From A High-Powered Rifle,"" St. Paul Pioneer Press, May 7, 2006.","Hewitt Project",-9,-9,0,-9,"","1970","May, 22, 1970","Left-Wing"
"9",197005280001,1970,"May",28,"",0,"",217,"United States",1,"North America","California","Sacramento",38.579065,-121.491014,1,0,"","",1,1,1,0,NA,"",0,1,0,2,"Armed Assault",NA,"",NA,"",3,"Police",25,"Police Security Forces/Officers","Sacramento Police","Policeman",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Black Panthers","","","","","","",0,NA,NA,0,6,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,5,"Firearms",3,"Handgun",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Pistols",1,NA,NA,0,NA,NA,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"","","","","PGIS",0,0,0,0,"","1970","May, 28, 1970","Left-Wing"
"10",197006190003,1970,"June",19,"",0,"",217,"United States",1,"North America","Illinois","Chicago",41.88415,-87.632409,1,0,"74th and Union","6/19/1970: Bruce Sharp and William Redwine, both African Americans, shot and killed Police Officer Kenneth Kaner as he was sitting in his squad car in Chicago Illinois, United States.",1,1,1,0,NA,"",0,1,0,2,"Armed Assault",NA,"",NA,"",3,"Police",25,"Police Security Forces/Officers","Chicago Police Officer","",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Black Nationalists","","","","","","African American opposition to the police",0,NA,NA,0,2,2,0,NA,"",NA,NA,"",NA,NA,"",NA,5,"Firearms",4,"Rifle/Shotgun (non-automatic)",5,"Firearms",3,"Handgun",NA,"",NA,"",NA,"",NA,"",".12 gauge double barreled shotgun; .38 caliber revolver",1,1,0,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"Bruce Sharp and William Redwine and three others driving in the same car noticed Officer Kenneth Kaner sitting in his car and someone in the group shouted ""let's get him"" and/or ""let's get his gun.""","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Jody P. Weiss, State of Illinois, Prisoner Review Board, ""Murdered Chicago Police Officer Kenneth Kaner on June 19, 1970."" Illinois Department of Corrections, August 11, 2008.","""Races: Ambushes in Chicago,"" Time Magazine, August 24, 1970.","Hewitt Project",-9,-9,0,-9,"","1970","June, 19, 1970","Left-Wing"
